Groups:
c_DOUT[7..0] =, c_DOUT[7], c_DOUT[6], c_DOUT[5], c_DOUT[4], c_DOUT[3], c_DOUT[2], c_DOUT[1], c_DOUT[0],  hex

Data:
time unit: ns, o_sdi, o_sck, p_available, c_XCLK, c_PCLK, c_SCL, c_SDATA, c_HREF, c_DOUT[7..0], c_DOUT[7], c_DOUT[6], c_DOUT[5], c_DOUT[4], c_DOUT[3], c_DOUT[2], c_DOUT[1], c_DOUT[0], ASYNC_FIFO:fifo|d_available, ASYNC_FIFO:fifo|r_en, ASYNC_FIFO:fifo|w_en, LCD_SPI_CONTROLLER_RUBIK:lcd|LCD_SPI_MASTER_IMPROVED:spi|o_busy, LCD_SPI_CONTROLLER_RUBIK:lcd|current_state.c_DATA, LCD_SPI_CONTROLLER_RUBIK:lcd|current_state.c_GOTO11, LCD_SPI_CONTROLLER_RUBIK:lcd|rst_coord, 
0, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
310, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
315, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
320, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
325, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
330, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
335, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
340, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
345, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
350, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
355, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
360, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
365, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
370, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
375, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
380, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
385, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
390, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
395, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
400, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
405, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
410, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
415, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
420, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
425, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
430, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
435, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
440, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
445, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
450, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
455, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
460, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
465, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
470, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
475, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
480, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
485, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
490, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
495, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
500, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
505, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
510, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
515, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
520, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
525, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
530, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
535, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
540, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
545, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
550, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
555, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
560, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
565, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
570, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
575, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
580, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
585, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
590, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
595, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
600, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
605, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
610, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
615, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
620, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
625, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
630, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
635, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
640, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
645, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
650, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
